Votes,Total,Candidate
114,267,YOWERI MUSEVENI TIBUHABURWA KAGUTA
832,952,YOWERI MUSEVENI TIBUHABURWA KAGUTA
36,193,YOWERI MUSEVENI TIBUHABURWA KAGUTA
40,278,YOWERI MUSEVENI TIBUHABURWA KAGUTA
47,343,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,366,YOWERI MUSEVENI TIBUHABURWA KAGUTA
413,651,YOWERI MUSEVENI TIBUHABURWA KAGUTA
133,343,YOWERI MUSEVENI TIBUHABURWA KAGUTA
69,174,YOWERI MUSEVENI TIBUHABURWA KAGUTA
166,431,YOWERI MUSEVENI TIBUHABURWA KAGUTA
94,346,YOWERI MUSEVENI TIBUHABURWA KAGUTA
163,406,YOWERI MUSEVENI TIBUHABURWA KAGUTA
135,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,397,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1619,1872,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1400,1623,YOWERI MUSEVENI TIBUHABURWA KAGUTA
435,471,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2639,3053,YOWERI MUSEVENI TIBUHABURWA KAGUTA
479,635,YOWERI MUSEVENI TIBUHABURWA KAGUTA
894,1072,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2549,2808,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2549,2808,YOWERI MUSEVENI TIBUHABURWA KAGUTA
945,1026,YOWERI MUSEVENI TIBUHABURWA KAGUTA
826,884,YOWERI MUSEVENI TIBUHABURWA KAGUTA
206,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
206,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
59,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,360,YOWERI MUSEVENI TIBUHABURWA KAGUTA
103,225,YOWERI MUSEVENI TIBUHABURWA KAGUTA
635,726,YOWERI MUSEVENI TIBUHABURWA KAGUTA
553,647,YOWERI MUSEVENI TIBUHABURWA KAGUTA
468,584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
468,584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
48,63,YOWERI MUSEVENI TIBUHABURWA KAGUTA
48,63,YOWERI MUSEVENI TIBUHABURWA KAGUTA
123,290,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,217,YOWERI MUSEVENI TIBUHABURWA KAGUTA
70,120,YOWERI MUSEVENI TIBUHABURWA KAGUTA
181,321,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,511,YOWERI MUSEVENI TIBUHABURWA KAGUTA
219,355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
151,264,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,188,YOWERI MUSEVENI TIBUHABURWA KAGUTA
80,183,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
312,481,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
123,226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
219,350,YOWERI MUSEVENI TIBUHABURWA KAGUTA
286,418,YOWERI MUSEVENI TIBUHABURWA KAGUTA
252,392,YOWERI MUSEVENI TIBUHABURWA KAGUTA
222,360,YOWERI MUSEVENI TIBUHABURWA KAGUTA
124,229,YOWERI MUSEVENI TIBUHABURWA KAGUTA
146,329,YOWERI MUSEVENI TIBUHABURWA KAGUTA
230,379,YOWERI MUSEVENI TIBUHABURWA KAGUTA
278,387,YOWERI MUSEVENI TIBUHABURWA KAGUTA
823,995,YOWERI MUSEVENI TIBUHABURWA KAGUTA
228,367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
313,431,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,356,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4302,5145,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3119,3540,YOWERI MUSEVENI TIBUHABURWA KAGUTA
539,1381,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1443,2586,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1109,1758,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
303,385,YOWERI MUSEVENI TIBUHABURWA KAGUTA
236,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
304,410,YOWERI MUSEVENI TIBUHABURWA KAGUTA
228,330,YOWERI MUSEVENI TIBUHABURWA KAGUTA
364,425,YOWERI MUSEVENI TIBUHABURWA KAGUTA
89,121,YOWERI MUSEVENI TIBUHABURWA KAGUTA
205,257,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
348,430,YOWERI MUSEVENI TIBUHABURWA KAGUTA
281,366,YOWERI MUSEVENI TIBUHABURWA KAGUTA
419,503,YOWERI MUSEVENI TIBUHABURWA KAGUTA
290,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
151,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
292,359,YOWERI MUSEVENI TIBUHABURWA KAGUTA
198,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
389,467,YOWERI MUSEVENI TIBUHABURWA KAGUTA
246,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
303,390,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,229,YOWERI MUSEVENI TIBUHABURWA KAGUTA
330,443,YOWERI MUSEVENI TIBUHABURWA KAGUTA
342,455,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,157,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,201,YOWERI MUSEVENI TIBUHABURWA KAGUTA
77,169,YOWERI MUSEVENI TIBUHABURWA KAGUTA
387,493,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,136,YOWERI MUSEVENI TIBUHABURWA KAGUTA
90,212,YOWERI MUSEVENI TIBUHABURWA KAGUTA
90,212,YOWERI MUSEVENI TIBUHABURWA KAGUTA
419,677,YOWERI MUSEVENI TIBUHABURWA KAGUTA
248,367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
359,583,YOWERI MUSEVENI TIBUHABURWA KAGUTA
318,490,YOWERI MUSEVENI TIBUHABURWA KAGUTA
369,585,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1114,1577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
920,1578,YOWERI MUSEVENI TIBUHABURWA KAGUTA
576,1216,YOWERI MUSEVENI TIBUHABURWA KAGUTA
332,880,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
143,351,YOWERI MUSEVENI TIBUHABURWA KAGUTA
85,296,YOWERI MUSEVENI TIBUHABURWA KAGUTA
119,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
91,250,YOWERI MUSEVENI TIBUHABURWA KAGUTA
80,197,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
33,95,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,258,YOWERI MUSEVENI TIBUHABURWA KAGUTA
63,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
179,357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,234,YOWERI MUSEVENI TIBUHABURWA KAGUTA
101,389,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,257,YOWERI MUSEVENI TIBUHABURWA KAGUTA
47,239,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,350,YOWERI MUSEVENI TIBUHABURWA KAGUTA
157,483,YOWERI MUSEVENI TIBUHABURWA KAGUTA
353,398,YOWERI MUSEVENI TIBUHABURWA KAGUTA
325,399,YOWERI MUSEVENI TIBUHABURWA KAGUTA
226,263,YOWERI MUSEVENI TIBUHABURWA KAGUTA
293,391,YOWERI MUSEVENI TIBUHABURWA KAGUTA
198,246,YOWERI MUSEVENI TIBUHABURWA KAGUTA
311,363,YOWERI MUSEVENI TIBUHABURWA KAGUTA
453,518,YOWERI MUSEVENI TIBUHABURWA KAGUTA
891,939,YOWERI MUSEVENI TIBUHABURWA KAGUTA
458,520,YOWERI MUSEVENI TIBUHABURWA KAGUTA
368,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
729,776,YOWERI MUSEVENI TIBUHABURWA KAGUTA
445,476,YOWERI MUSEVENI TIBUHABURWA KAGUTA
445,476,YOWERI MUSEVENI TIBUHABURWA KAGUTA
358,408,YOWERI MUSEVENI TIBUHABURWA KAGUTA
358,408,YOWERI MUSEVENI TIBUHABURWA KAGUTA
730,798,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128,177,YOWERI MUSEVENI TIBUHABURWA KAGUTA
799,1178,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1356,1699,YOWERI MUSEVENI TIBUHABURWA KAGUTA
642,935,YOWERI MUSEVENI TIBUHABURWA KAGUTA
252,305,YOWERI MUSEVENI TIBUHABURWA KAGUTA
296,407,YOWERI MUSEVENI TIBUHABURWA KAGUTA
238,348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
157,209,YOWERI MUSEVENI TIBUHABURWA KAGUTA
669,816,YOWERI MUSEVENI TIBUHABURWA KAGUTA
717,956,YOWERI MUSEVENI TIBUHABURWA KAGUTA
344,1226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
648,2005,YOWERI MUSEVENI TIBUHABURWA KAGUTA
48,218,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,458,YOWERI MUSEVENI TIBUHABURWA KAGUTA
115,602,YOWERI MUSEVENI TIBUHABURWA KAGUTA
133,434,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,392,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
95,278,YOWERI MUSEVENI TIBUHABURWA KAGUTA
69,446,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,638,YOWERI MUSEVENI TIBUHABURWA KAGUTA
96,442,YOWERI MUSEVENI TIBUHABURWA KAGUTA
101,465,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,340,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
42,255,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
52,182,YOWERI MUSEVENI TIBUHABURWA KAGUTA
164,488,YOWERI MUSEVENI TIBUHABURWA KAGUTA
142,388,YOWERI MUSEVENI TIBUHABURWA KAGUTA
149,377,YOWERI MUSEVENI TIBUHABURWA KAGUTA
103,480,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,466,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,444,YOWERI MUSEVENI TIBUHABURWA KAGUTA
122,384,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,377,YOWERI MUSEVENI TIBUHABURWA KAGUTA
147,502,YOWERI MUSEVENI TIBUHABURWA KAGUTA
107,306,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,317,YOWERI MUSEVENI TIBUHABURWA KAGUTA
79,470,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,606,YOWERI MUSEVENI TIBUHABURWA KAGUTA
88,510,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,515,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
153,482,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
87,319,YOWERI MUSEVENI TIBUHABURWA KAGUTA
95,307,YOWERI MUSEVENI TIBUHABURWA KAGUTA
122,454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
88,313,YOWERI MUSEVENI TIBUHABURWA KAGUTA
116,486,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66,239,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57,244,YOWERI MUSEVENI TIBUHABURWA KAGUTA
99,399,YOWERI MUSEVENI TIBUHABURWA KAGUTA
119,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
108,539,YOWERI MUSEVENI TIBUHABURWA KAGUTA
119,357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,441,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,433,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,210,YOWERI MUSEVENI TIBUHABURWA KAGUTA
69,227,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66,199,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,344,YOWERI MUSEVENI TIBUHABURWA KAGUTA
94,393,YOWERI MUSEVENI TIBUHABURWA KAGUTA
94,393,YOWERI MUSEVENI TIBUHABURWA KAGUTA
577,1471,YOWERI MUSEVENI TIBUHABURWA KAGUTA
49,230,YOWERI MUSEVENI TIBUHABURWA KAGUTA
418,1058,YOWERI MUSEVENI TIBUHABURWA KAGUTA
358,858,YOWERI MUSEVENI TIBUHABURWA KAGUTA
852,1557,YOWERI MUSEVENI TIBUHABURWA KAGUTA
174,411,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,296,YOWERI MUSEVENI TIBUHABURWA KAGUTA
247,315,YOWERI MUSEVENI TIBUHABURWA KAGUTA
436,669,YOWERI MUSEVENI TIBUHABURWA KAGUTA
347,488,YOWERI MUSEVENI TIBUHABURWA KAGUTA
347,488,YOWERI MUSEVENI TIBUHABURWA KAGUTA
81,143,YOWERI MUSEVENI TIBUHABURWA KAGUTA
497,591,YOWERI MUSEVENI TIBUHABURWA KAGUTA
258,355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
330,468,YOWERI MUSEVENI TIBUHABURWA KAGUTA
211,288,YOWERI MUSEVENI TIBUHABURWA KAGUTA
198,292,YOWERI MUSEVENI TIBUHABURWA KAGUTA
455,560,YOWERI MUSEVENI TIBUHABURWA KAGUTA
309,372,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,287,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
111,221,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,168,YOWERI MUSEVENI TIBUHABURWA KAGUTA
115,234,YOWERI MUSEVENI TIBUHABURWA KAGUTA
481,590,YOWERI MUSEVENI TIBUHABURWA KAGUTA
231,349,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,296,YOWERI MUSEVENI TIBUHABURWA KAGUTA
73,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
185,244,YOWERI MUSEVENI TIBUHABURWA KAGUTA
74,146,YOWERI MUSEVENI TIBUHABURWA KAGUTA
226,320,YOWERI MUSEVENI TIBUHABURWA KAGUTA
39,137,YOWERI MUSEVENI TIBUHABURWA KAGUTA
39,137,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,254,YOWERI MUSEVENI TIBUHABURWA KAGUTA
176,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
301,638,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
202,431,YOWERI MUSEVENI TIBUHABURWA KAGUTA
361,780,YOWERI MUSEVENI TIBUHABURWA KAGUTA
168,374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,242,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,242,YOWERI MUSEVENI TIBUHABURWA KAGUTA
396,532,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,232,YOWERI MUSEVENI TIBUHABURWA KAGUTA
55,282,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
136,459,YOWERI MUSEVENI TIBUHABURWA KAGUTA
224,663,YOWERI MUSEVENI TIBUHABURWA KAGUTA
434,595,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2759,3450,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1466,2229,YOWERI MUSEVENI TIBUHABURWA KAGUTA
307,383,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2145,3482,YOWERI MUSEVENI TIBUHABURWA KAGUTA
621,2081,YOWERI MUSEVENI TIBUHABURWA KAGUTA
255,331,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1150,1367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3115,3401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2189,2508,YOWERI MUSEVENI TIBUHABURWA KAGUTA
414,474,YOWERI MUSEVENI TIBUHABURWA KAGUTA
501,556,YOWERI MUSEVENI TIBUHABURWA KAGUTA
341,454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
490,592,YOWERI MUSEVENI TIBUHABURWA KAGUTA
395,445,YOWERI MUSEVENI TIBUHABURWA KAGUTA
294,315,YOWERI MUSEVENI TIBUHABURWA KAGUTA
418,481,YOWERI MUSEVENI TIBUHABURWA KAGUTA
126,249,YOWERI MUSEVENI TIBUHABURWA KAGUTA
140,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
329,557,YOWERI MUSEVENI TIBUHABURWA KAGUTA
179,331,YOWERI MUSEVENI TIBUHABURWA KAGUTA
70,194,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
59,186,YOWERI MUSEVENI TIBUHABURWA KAGUTA
198,228,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1347,1761,YOWERI MUSEVENI TIBUHABURWA KAGUTA
381,513,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
317,530,YOWERI MUSEVENI TIBUHABURWA KAGUTA
225,402,YOWERI MUSEVENI TIBUHABURWA KAGUTA
158,289,YOWERI MUSEVENI TIBUHABURWA KAGUTA
158,289,YOWERI MUSEVENI TIBUHABURWA KAGUTA
296,341,YOWERI MUSEVENI TIBUHABURWA KAGUTA
124,196,YOWERI MUSEVENI TIBUHABURWA KAGUTA
159,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
61,277,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,136,YOWERI MUSEVENI TIBUHABURWA KAGUTA
166,287,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,283,YOWERI MUSEVENI TIBUHABURWA KAGUTA
153,296,YOWERI MUSEVENI TIBUHABURWA KAGUTA
230,373,YOWERI MUSEVENI TIBUHABURWA KAGUTA
181,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
146,226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,279,YOWERI MUSEVENI TIBUHABURWA KAGUTA
388,525,YOWERI MUSEVENI TIBUHABURWA KAGUTA
362,479,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,316,YOWERI MUSEVENI TIBUHABURWA KAGUTA
319,419,YOWERI MUSEVENI TIBUHABURWA KAGUTA
358,460,YOWERI MUSEVENI TIBUHABURWA KAGUTA
166,279,YOWERI MUSEVENI TIBUHABURWA KAGUTA
385,463,YOWERI MUSEVENI TIBUHABURWA KAGUTA
392,499,YOWERI MUSEVENI TIBUHABURWA KAGUTA
475,736,YOWERI MUSEVENI TIBUHABURWA KAGUTA
295,406,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3378,4046,YOWERI MUSEVENI TIBUHABURWA KAGUTA
901,1108,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1604,2169,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2826,3401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
672,1473,YOWERI MUSEVENI TIBUHABURWA KAGUTA
275,388,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,183,YOWERI MUSEVENI TIBUHABURWA KAGUTA
97,141,YOWERI MUSEVENI TIBUHABURWA KAGUTA
225,274,YOWERI MUSEVENI TIBUHABURWA KAGUTA
129,177,YOWERI MUSEVENI TIBUHABURWA KAGUTA
215,294,YOWERI MUSEVENI TIBUHABURWA KAGUTA
246,325,YOWERI MUSEVENI TIBUHABURWA KAGUTA
219,278,YOWERI MUSEVENI TIBUHABURWA KAGUTA
241,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
425,509,YOWERI MUSEVENI TIBUHABURWA KAGUTA
216,294,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,228,YOWERI MUSEVENI TIBUHABURWA KAGUTA
310,375,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
229,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
378,458,YOWERI MUSEVENI TIBUHABURWA KAGUTA
380,496,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,266,YOWERI MUSEVENI TIBUHABURWA KAGUTA
315,382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
242,318,YOWERI MUSEVENI TIBUHABURWA KAGUTA
231,327,YOWERI MUSEVENI TIBUHABURWA KAGUTA
364,493,YOWERI MUSEVENI TIBUHABURWA KAGUTA
171,319,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,302,YOWERI MUSEVENI TIBUHABURWA KAGUTA
236,333,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,187,YOWERI MUSEVENI TIBUHABURWA KAGUTA
112,234,YOWERI MUSEVENI TIBUHABURWA KAGUTA
154,260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
154,260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,250,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,186,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,186,YOWERI MUSEVENI TIBUHABURWA KAGUTA
102,242,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
43,97,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,178,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,275,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,270,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1504,2174,YOWERI MUSEVENI TIBUHABURWA KAGUTA
717,1041,YOWERI MUSEVENI TIBUHABURWA KAGUTA
129,277,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,346,YOWERI MUSEVENI TIBUHABURWA KAGUTA
87,180,YOWERI MUSEVENI TIBUHABURWA KAGUTA
254,432,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,339,YOWERI MUSEVENI TIBUHABURWA KAGUTA
101,412,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,399,YOWERI MUSEVENI TIBUHABURWA KAGUTA
114,419,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
94,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,250,YOWERI MUSEVENI TIBUHABURWA KAGUTA
54,157,YOWERI MUSEVENI TIBUHABURWA KAGUTA
167,363,YOWERI MUSEVENI TIBUHABURWA KAGUTA
113,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
88,338,YOWERI MUSEVENI TIBUHABURWA KAGUTA
114,304,YOWERI MUSEVENI TIBUHABURWA KAGUTA
116,381,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,250,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
114,406,YOWERI MUSEVENI TIBUHABURWA KAGUTA
266,825,YOWERI MUSEVENI TIBUHABURWA KAGUTA
103,399,YOWERI MUSEVENI TIBUHABURWA KAGUTA
121,357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
99,343,YOWERI MUSEVENI TIBUHABURWA KAGUTA
81,327,YOWERI MUSEVENI TIBUHABURWA KAGUTA
264,320,YOWERI MUSEVENI TIBUHABURWA KAGUTA
208,245,YOWERI MUSEVENI TIBUHABURWA KAGUTA
279,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
327,389,YOWERI MUSEVENI TIBUHABURWA KAGUTA
298,376,YOWERI MUSEVENI TIBUHABURWA KAGUTA
277,347,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
251,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
246,287,YOWERI MUSEVENI TIBUHABURWA KAGUTA
259,306,YOWERI MUSEVENI TIBUHABURWA KAGUTA
281,325,YOWERI MUSEVENI TIBUHABURWA KAGUTA
354,399,YOWERI MUSEVENI TIBUHABURWA KAGUTA
552,585,YOWERI MUSEVENI TIBUHABURWA KAGUTA
296,375,YOWERI MUSEVENI TIBUHABURWA KAGUTA
247,347,YOWERI MUSEVENI TIBUHABURWA KAGUTA
255,297,YOWERI MUSEVENI TIBUHABURWA KAGUTA
353,382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
212,248,YOWERI MUSEVENI TIBUHABURWA KAGUTA
491,546,YOWERI MUSEVENI TIBUHABURWA KAGUTA
334,389,YOWERI MUSEVENI TIBUHABURWA KAGUTA
516,582,YOWERI MUSEVENI TIBUHABURWA KAGUTA
258,342,YOWERI MUSEVENI TIBUHABURWA KAGUTA
429,539,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1633,2070,YOWERI MUSEVENI TIBUHABURWA KAGUTA
268,330,YOWERI MUSEVENI TIBUHABURWA KAGUTA
533,746,YOWERI MUSEVENI TIBUHABURWA KAGUTA
734,939,YOWERI MUSEVENI TIBUHABURWA KAGUTA
877,1061,YOWERI MUSEVENI TIBUHABURWA KAGUTA
371,468,YOWERI MUSEVENI TIBUHABURWA KAGUTA
896,1162,YOWERI MUSEVENI TIBUHABURWA KAGUTA
269,1072,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128,336,YOWERI MUSEVENI TIBUHABURWA KAGUTA
193,507,YOWERI MUSEVENI TIBUHABURWA KAGUTA
96,387,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,414,YOWERI MUSEVENI TIBUHABURWA KAGUTA
152,439,YOWERI MUSEVENI TIBUHABURWA KAGUTA
187,391,YOWERI MUSEVENI TIBUHABURWA KAGUTA
89,442,YOWERI MUSEVENI TIBUHABURWA KAGUTA
87,231,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,436,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,436,YOWERI MUSEVENI TIBUHABURWA KAGUTA
102,335,YOWERI MUSEVENI TIBUHABURWA KAGUTA
146,491,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,612,YOWERI MUSEVENI TIBUHABURWA KAGUTA
65,482,YOWERI MUSEVENI TIBUHABURWA KAGUTA
156,592,YOWERI MUSEVENI TIBUHABURWA KAGUTA
60,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
81,491,YOWERI MUSEVENI TIBUHABURWA KAGUTA
47,163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
72,366,YOWERI MUSEVENI TIBUHABURWA KAGUTA
151,487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,361,YOWERI MUSEVENI TIBUHABURWA KAGUTA
72,286,YOWERI MUSEVENI TIBUHABURWA KAGUTA
32,250,YOWERI MUSEVENI TIBUHABURWA KAGUTA
81,293,YOWERI MUSEVENI TIBUHABURWA KAGUTA
178,584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
117,540,YOWERI MUSEVENI TIBUHABURWA KAGUTA
