Constituency,Name,Political Party,Votes,ID
AJURI COUNTY,OBUA  DENIS HAMSON,NRM,11796,6
AJURI COUNTY,ONGOM  EMMANUEL OKWEL,FDC,10612,6
AJURI COUNTY,OKWIR  ISAAC,INDEPENDENT,5859,6
AJURI COUNTY,ONYOK  HOWARD,UPC,3933,6
AJURI COUNTY,APENYO  ISAAC,INDEPENDENT,2222,6
MOROTO COUNTY,OKWIR  SAMUEL,NRM,17703,7
MOROTO COUNTY,OLANG  PATRICK,INDEPENDENT,9874,7
MOROTO COUNTY,OBOTE  KENNEDY OJUKA,UPC,2644,7
MOROTO COUNTY,OPIO  DENIS,INDEPENDENT,1801,7
MOROTO COUNTY,OKOT  FREDRICK NAURIES,FDC,343,7
MOROTO COUNTY,OJEDE  ZIEGLER BOBSON,INDEPENDENT,225,7
KIOGA COUNTY,OKOT  MOSES JUNIOR,FDC,8537,8
KIOGA COUNTY,OKELLO  ANTHONY,NRM,6927,8
KIOGA COUNTY,ADUPA  ONGWECH FELIX,INDEPENDENT,5691,8
KIOGA COUNTY,OTAKA  GEORGE,INDEPENDENT,1259,8
KIOGA COUNTY,ANGOLE  JOSEPH,INDEPENDENT,489,8
KIOGA COUNTY,OKUU  OKUU DEOGRATIUS,INDEPENDENT,110,8
KIOGA NORTH COUNTY,OLOBO  JAMES,NRM,14021,9
KIOGA NORTH COUNTY,ECAM  NELSON,INDEPENDENT,6381,9
KIOGA NORTH COUNTY,ABWANG  MIKE OTIM,FDC,4346,9
KIOGA NORTH COUNTY,OGWANG  PATRICK,UPC,3376,9
KIOGA NORTH COUNTY,OLING  JASPER,INDEPENDENT,844,9
KIOGA NORTH COUNTY,TYAN  ABEL,NUP,227,9
UPE COUNTY,LOLEM  MICAH AKASILE,NRM,16241,10
UPE COUNTY,KIPTERIT  CHRISTOPHER AKORIKIMOI,INDEPENDENT,11939,10
UPE COUNTY,BAKAN  APPOLLO JAMES,INDEPENDENT,2972,10
AMURIA COUNTY,ECWERU  MUSA FRANCIS,NRM,20143,11
AMURIA COUNTY,EDIAU  SAMUEL,UPC,12399,11
AMURIA COUNTY,AMOLO  SIMON PETER ORIOKOT,INDEPENDENT,4511,11
AMURIA COUNTY,EKALET  BERNARA,INDEPENDENT,473,11
AMURIA COUNTY,OKURUT  CHRISTOPHER,ANT,454,11
ORUNGO COUNTY,ODONGO  JEJE ABUBAKAR,NRM,15173,12
ORUNGO COUNTY,ESERU  FRED,FDC,3233,12
ORUNGO COUNTY,ESOGU  NELSON,NUP,1175,12
KILAK NORTH COUNTY,AKOL  ANTHONY,FDC,6534,13
KILAK NORTH COUNTY,OJERA  CHRISTOPHER,NRM,6366,13
KILAK NORTH COUNTY,OCAN  JOHN BOSCO,INDEPENDENT,1927,13
KILAK NORTH COUNTY,OMONY  JULIUS,INDEPENDENT,1312,13
KILAK NORTH COUNTY,ODONGKARA  CHRISTOPHER,INDEPENDENT,773,13
KILAK NORTH COUNTY,OKELLO  DAVID,NUP,360,13
KILAK NORTH COUNTY,TUGUME  JUSTUS,INDEPENDENT,250,13
KILAK NORTH COUNTY,SIMBA  FRANCIS,INDEPENDENT,148,13
KILAK SOUTH COUNTY,OLANYA  GILBERT,FDC,10820,13
KILAK SOUTH COUNTY,NOKRACH  WILSON WILLIAM,NRM,5189,13
KILAK SOUTH COUNTY,ANENA  KEVIN OKUMU,INDEPENDENT,1271,13
KILAK SOUTH COUNTY,OCIRA  SOLOMON,INDEPENDENT,467,13
KILAK SOUTH COUNTY,ANYWAR  CHRISTOPHER,DP,290,13
KILAK SOUTH COUNTY,OKELLO  JAMES MOGI,ANT,178,13
APAC MUNICIPALITY,OCAN  PATRICK,UPC,9469,14
APAC MUNICIPALITY,OKELLO  JIMMY,NRM,3675,14
MARUZI COUNTY,AKORA  MAXWELL EBONG PATRICK,UPC,10758,15
MARUZI COUNTY,OPETO  MOSES,NRM,7987,15
MARUZI COUNTY,ODORA  DENIS MR DEE,INDEPENDENT,2204,15
MARUZI COUNTY,OKELLO  GEORGE EKWARO,FDC,977,15
MARUZI NORTH COUNTY,OKELLO  NELSON,UPC,9395,16
MARUZI NORTH COUNTY,CHONO  PATRICK OKELLO,NRM,7876,16
MARUZI NORTH COUNTY,ODONGO  FRANCIS,INDEPENDENT,1344,16
VURRA COUNTY,ADRIKO  YOVAN,NRM,21989,17
VURRA COUNTY,EJUA  SIMON,INDEPENDENT,7710,17
VURRA COUNTY,PARIYO  PETER,INDEPENDENT,3408,17
VURRA COUNTY,OBINI  GERALD,DP,1217,17
ARUA CENTRAL DIVISION,ATIMA JACKSON  LEE BUTI,NRM,6570,18
ARUA CENTRAL DIVISION,WADRI  KASSIANO EZATI,ANT,6038,18
ARUA CENTRAL DIVISION,HADAD  SALIM,NUP,5711,18
ARUA CENTRAL DIVISION,ASEGA  HABIB JOGO,JEEMA,238,18
ARUA CENTRAL DIVISION,ADOMATI  RONALD,FDC,156,18
ARUA CENTRAL DIVISION,LEMERIGA  FADHIL KUJO,DP,154,18
AYIVU DIVISION EAST,FETA  GEOFREY,NRM,10431,19
AYIVU DIVISION EAST,AVUTIA  SIMON,INDEPENDENT,5022,19
AYIVU DIVISION EAST,AYIKOBUA  ISAAC,NUP,3937,19
AYIVU DIVISION EAST,PIRIO  GASPER,DP,2523,19
AYIVU DIVISION EAST,MUNDURU  KEVIN,INDEPENDENT,2326,19
AYIVU DIVISION EAST,ADRABO  ALEX ADIGA,INDEPENDENT,2322,19
AYIVU DIVISION EAST,DRAVILLE  BEN,INDEPENDENT,1608,19
AYIVU DIVISION EAST,TEKAKWO  VENICE,INDEPENDENT,593,19
AYIVU DIVISION EAST,ANGUFIRU  MARGARET,INDEPENDENT,423,19
AYIVU DIVISION WEST,LEMATIA  JOHN,NRM,11269,19
AYIVU DIVISION WEST,ATIKU  BENARD,INDEPENDENT,9196,19
AYIVU DIVISION WEST,AYIKOBUA  DENIS,INDEPENDENT,5091,19
AYIVU DIVISION WEST,AFAYOA  CHRISTOPHER,DP,614,19
BUDAKA COUNTY,MBOIZI  ARTHUR WAAKO,INDEPENDENT,9463,20
BUDAKA COUNTY,KASIBBO  JOSHUA OMAYENDE,NRM,7919,20
BUDAKA COUNTY,KISAALE  JAMES,INDEPENDENT,6397,20
BUDAKA COUNTY,MUGULUSI  GONANSA NKODONGOLE,INDEPENDENT,3507,20
BUDAKA COUNTY,GOIRE  MOSES,INDEPENDENT,3335,20
BUDAKA COUNTY,MBOGO  KEZEKIA,INDEPENDENT,3272,20
BUDAKA COUNTY,MWANIKA  FRANCIS,INDEPENDENT,2767,20
BUDAKA COUNTY,MAGGWA  ASUMAN,NUP,1052,20
IKI-IKI COUNTY,KASOLO  ROBERT,NRM,10928,21
IKI-IKI COUNTY,KAMPANYA  ABDU SWAIBU,INDEPENDENT,7499,21
IKI-IKI COUNTY,MUGWERI  GEOFFREY,INDEPENDENT,7227,21
IKI-IKI COUNTY,KAMWADA  WILLIAM HARVEY,FDC,362,21
IKI-IKI COUNTY,KABIRA  BRIAN,INDEPENDENT,169,21
IKI-IKI COUNTY,MUSIGIRE  ABBAS,INDEPENDENT,117,21
BUSHIGAI COUNTY,WAKIKONA  WANDENDEYA DAVID,NRM,4198,22
BUSHIGAI COUNTY,WATIRA  WILSON,INDEPENDENT,2172,22
BUSHIGAI COUNTY,NAMUKOWA  PHILIP,INDEPENDENT,1873,22
BUSHIGAI COUNTY,WAMBOKO  PETER KITUNO,INDEPENDENT,376,22
BUSHIGAI COUNTY,KHATONDI  JOB,INDEPENDENT,328,22
LUTSESHE COUNTY,MODOI  ISAAC,NRM,9990,23
LUTSESHE COUNTY,WATENGA  GODFREY NABUTANYI,INDEPENDENT,9304,23
LUTSESHE COUNTY,BIKALA  MOSES MUKUWA,INDEPENDENT,222,23
LUTSESHE COUNTY,MASIKA  ROBERT,NUP,198,23
LUTSESHE COUNTY,WAKOSESE  MICHEAL,INDEPENDENT,192,23
LUTSESHE COUNTY,NABOKYE  WILSON,INDEPENDENT,37,23
MANJIYA COUNTY,NAMBESHE  JOHN BAPTIST,NUP,9994,24
MANJIYA COUNTY,MUKHOBEH  MOSES KHAUKHA,NRM,5032,24
MANJIYA COUNTY,HUSSEIN  KATO MATANDA,INDEPENDENT,1069,24
MANJIYA COUNTY,MATSANGA  JACKSON,INDEPENDENT,528,24
BUGIRI MUNICIPALITY,BASALIRWA  ASUMAN,JEEMA,5325,25
BUGIRI MUNICIPALITY,OKETCHO  JOHN FRANCIS,NRM,3779,25
BUGIRI MUNICIPALITY,KIZIRE  NAKENDO IBRAHIM,INDEPENDENT,129,25
BUGIRI MUNICIPALITY,MAGUMBA  FRANK,INDEPENDENT,69,25
BUGIRI MUNICIPALITY,WAISWA  JAMIRU,INDEPENDENT,63,25
BUGIRI MUNICIPALITY,WAFULA  STEPHEN,FDC,55,25
BUGIRI MUNICIPALITY,WAFULA  FAHADI,INDEPENDENT,32,25
BUKOOLI COUNTY CENTRAL,SILWANY  SOLOMON,NRM,24244,26
BUKOOLI COUNTY CENTRAL,WAFULA  OGUTTU,FDC,12555,26
BUKOOLI COUNTY CENTRAL,MUGOYA  ALI MUKOOVA,INDEPENDENT,5243,26
BUKOOLI COUNTY CENTRAL,LUWANGA  FREDDIE DAVID MULENGANI,INDEPENDENT,3314,26
BUKOOLI COUNTY CENTRAL,NTAMBI  LATIF ARAFAT,NUP,3028,26
BUKOOLI COUNTY CENTRAL,KAREMIRE  MUGAGGA MUKUVE,INDEPENDENT,1680,26
BUKOOLI COUNTY CENTRAL,WANDERA  ISMAIL ONYANGO,INDEPENDENT,1420,26
BUKOOLI COUNTY CENTRAL,OKANGA  CHARLES,INDEPENDENT,586,26
BUKOOLI COUNTY CENTRAL,WABWIRE  CHARLES,INDEPENDENT,482,26
BUKOOLI COUNTY CENTRAL,MUKAMA  ABUBAKALI,INDEPENDENT,413,26
BUKOOLI COUNTY CENTRAL,BALYEIDHUSA  SAMUEL BRIGHT,INDEPENDENT,259,26
BUKOOLI COUNTY NORTH,BAKA  STEPHEN MUGABI,NRM,19318,27
BUKOOLI COUNTY NORTH,AYAGALACHI  JAMALI,NUP,9197,27
BUKOOLI COUNTY NORTH,NAKENDO  ISAAC,INDEPENDENT,9056,27
BUKOOLI COUNTY NORTH,ENGURATA  GEORGE WILLIAM,FDC,622,27
BUKOOLI COUNTY NORTH,MWONDHA  SAMUEL DAVID,INDEPENDENT,266,27
BUKOOLI COUNTY NORTH,TENYWA  HUSSEIN NYAIKA,ANT,184,27
BUGWERI COUNTY,KATUNTU  ABDU,INDEPENDENT,17813,28
BUGWERI COUNTY,IBAALE  DANIEL  JOSEPH,NRM,13141,28
BUGWERI COUNTY,GALISONGA  JULIUS,FDC,9074,28
BUGWERI COUNTY,KEDDY  ABUBAKER,NUP,2624,28
BUGWERI COUNTY,NKUUTU  SHABAN,INDEPENDENT,1535,28
BUGWERI COUNTY,NKUUTU  SULAIMAN,INDEPENDENT,643,28
BUGWERI COUNTY,KAKAIRE  SULAIMAN,ANT,460,28
BUGWERI COUNTY,MENYA  ISIIMA,INDEPENDENT,243,28
BUGWERI COUNTY,MALIBA  HARITH,JEEMA,114,28
BUGWERI COUNTY,KIRUNDA  KIBEDI  PAUL,DP,88,28
BUGWERI COUNTY,MAMBO  KASIMU,INDEPENDENT,75,28
BUHWEJU COUNTY,MWIJUKYE  FRANCIS,FDC,12084,28
BUHWEJU COUNTY,RUGYERO GREAT  ALEX,NRM,9769,28
BUHWEJU COUNTY,MUKIIZA  LINAS,ANT,69,28
BUHWEJU WEST COUNTY,BIRAARO  EPHRAIM GANSHANGA,NRM,14423,29
BUHWEJU WEST COUNTY,NAREEBA  DANIEL,INDEPENDENT,10234,29
BUHWEJU WEST COUNTY,TWINOMUGISHA  WILSON,INDEPENDENT,1300,29
BUHWEJU WEST COUNTY,ABENAITWE  EVATH KAFUREEKA,FDC,175,29
BUHWEJU WEST COUNTY,MPIIRWOMUGISHA  ISAIAH,ANT,142,29
BUIKWE COUNTY SOUTH,BAYIGGA  MICHAEL PHILIP LULUME,DP,28759,30
BUIKWE COUNTY SOUTH,MUTEBI  DAVID RONNIE,NRM,15024,30
BUIKWE COUNTY SOUTH,SEMBUYA KOONA MAGULU STEPHEN,NUP,2892,30
BUIKWE COUNTY SOUTH,NSUBUGA  MURSHID,JEEMA,311,30
BUIKWE COUNTY SOUTH,KATAMBULA  STEPHEN,INDEPENDENT,305,30
BUIKWE COUNTY SOUTH,SEKIMULI  ANDREW,INDEPENDENT,300,30
BUIKWE COUNTY SOUTH,SENDEGE  IVAN,INDEPENDENT,174,30
LUGAZI MUNICIPALITY,SSERUBULA STEPHEN,NUP,14409,31
LUGAZI MUNICIPALITY,MULINDWA ISAAC SSOZI,INDEPENDENT,10085,31
LUGAZI MUNICIPALITY,BOGERE RICHARD SSENKAABA,NRM,8901,31
LUGAZI MUNICIPALITY,SSERUWAJI MOSES,INDEPENDENT,627,31
LUGAZI MUNICIPALITY,ONZIMA BOSCO,FDC,492,31
NJERU MUNICIPALITY,LWANGA JIMMY,NUP,13676,32
NJERU MUNICIPALITY,NYANGO DIANA HOPE,NRM,7234,32
NJERU MUNICIPALITY,MUSOKE PAUL SEBULIME,INDEPENDENT,6736,32
NJERU MUNICIPALITY,KABUYE BADIRU MPOZA,INDEPENDENT,6094,32
NJERU MUNICIPALITY,EMOLU GODFREY KIZZA,FDC,4476,32
NJERU MUNICIPALITY,ONYANGO DAVID,INDEPENDENT,2275,32
NJERU MUNICIPALITY,MUSANJE MOSES,INDEPENDENT,1513,32
NJERU MUNICIPALITY,LUSWATA NASHIF,JEEMA,1180,32
NJERU MUNICIPALITY,KALAZANI CHARLES,ANT,834,32
NJERU MUNICIPALITY,MUGABI ARTHUR,INDEPENDENT,431,32
NJERU MUNICIPALITY,WANZALA RICHARD,DP,304,32
BUKEDEA COUNTY,IKOJO  JOHN BOSCO,NRM,20112,33
BUKEDEA COUNTY,EKUMA  GEORGE STEPHEN,INDEPENDENT,10546,33
BUKEDEA COUNTY,OBILAN  ABUBAKAR UMAR,INDEPENDENT,4957,33
BUKEDEA COUNTY,OMODING  PETERSON,INDEPENDENT,2723,33
BUKEDEA COUNTY,EMAASIT  DANIEL,INDEPENDENT,1451,33
BUKEDEA COUNTY,EYATU  KENNETH,INDEPENDENT,872,33
BUKEDEA COUNTY,EKOOM  STEPHEN,NUP,617,33
BUKEDEA COUNTY,OITA  SAM  ODEKE,FDC,461,33
KACHUMBALA COUNTY,OPOLOT  PATRICK  ISIAGI,NRM,11717,34
KACHUMBALA COUNTY,ALEKO  HENRY,INDEPENDENT,4573,34
KACHUMBALA COUNTY,OKELLOTO  TOM,INDEPENDENT,1584,34
KACHUMBALA COUNTY,OMAGOR  DAVID STEPHEN,INDEPENDENT,374,34
BUKOMANSIMBI NORTH COUNTY,NANDAGIRE  CHRISTINE NDIWALANA,NUP,9617,35
BUKOMANSIMBI NORTH COUNTY,KATUSHABE  RUTH,NRM,6599,35
BUKOMANSIMBI NORTH COUNTY,LUBYAYI  IDDI KISIKI,INDEPENDENT,4238,35
BUKOMANSIMBI NORTH COUNTY,KATEREGGA  MOHAMED,JEEMA,3076,35
BUKOMANSIMBI NORTH COUNTY,KAWOOYA  YASIIN,DP,251,35
BUKOMANSIMBI NORTH COUNTY,NAMAKULA  RACHEAL,INDEPENDENT,182,35
BUKOMANSIMBI NORTH COUNTY,SSEBUGWAWO  YUSUFU,INDEPENDENT,47,35
BUKOMANSIMBI SOUTH COUNTY,KAYEMBA  GEOFREY SSOLO,NUP,9200,35
BUKOMANSIMBI SOUTH COUNTY,KAGIMU  KIWANUKA MAURICE,INDEPENDENT,4072,35
BUKOMANSIMBI SOUTH COUNTY,SEMAKULA  BASHIR,NRM,3787,35
BUKOMANSIMBI SOUTH COUNTY,KIYINGI  DEOGRATIUS DEUSDEDIT GONZAGA,DP,2955,35
BUKOMANSIMBI SOUTH COUNTY,MUBIRU  ARTHUR,INDEPENDENT,1462,35
BUKOMANSIMBI SOUTH COUNTY,NALUWUGE  ANNET,INDEPENDENT,487,35
BUKOMANSIMBI SOUTH COUNTY,MULINDWA  ANDREW,INDEPENDENT,328,35
BUKOMANSIMBI SOUTH COUNTY,BIRIMUKATONDA  EVA NORAH,INDEPENDENT,321,35
BUKOMANSIMBI SOUTH COUNTY,MUTEBI  DENIS MUZEYI,INDEPENDENT,202,35
BUKOMANSIMBI SOUTH COUNTY,SEBUKOMO  JULIUS,FDC,33,35
KONGASIS COUNTY,REUBEN  PAUL CHELIMO,NRM,6821,36
KONGASIS COUNTY,SABILA  NELSON,INDEPENDENT,6714,36
KONGASIS COUNTY,CHEROP  CHARLIE CHEPTOIK CHASSIE,INDEPENDENT,5470,36
T'OO COUNTY,CHELANGAT  ALINGA SOLOMON,NRM,8219,37
T'OO COUNTY,KITI  PETER,INDEPENDENT,4017,37
T'OO COUNTY,LABU  PATRICK,INDEPENDENT,1248,37
BULAMBULI COUNTY,KATENYA  ISAAC,INDEPENDENT,8847,38
BULAMBULI COUNTY,BURUNDO  MUNGOMA MUSINGO ALEX,NRM,6814,38
BULAMBULI COUNTY,GASHALI  TOM,INDEPENDENT,2554,38
BULAMBULI COUNTY,BIARA  EMMANUEL WEPUKHULU,INDEPENDENT,1626,38
BULAMBULI COUNTY,SAMAALI  MOSES,FDC,130,38
BULAMBULI COUNTY,WABULAKA  PAUL,DP,83,38
ELGON COUNTY,WAMAKUYU  IGNATIUS MUDIMI,NRM,9213,39
ELGON COUNTY,MASABA  EMMANUEL WEKOMBA,FDC,1765,39
ELGON COUNTY,WADULO  GIDADUYI GEOFFREY ROBERT,INDEPENDENT,384,39
ELGON NORTH COUNTY,NANGOLI  GERALD,NRM,15753,40
ELGON NORTH COUNTY,MUSUDO  NANJERA HANNINGTON,INDEPENDENT,3123,40
ELGON NORTH COUNTY,MWAMBU  MADETE CHRISTOPHER,INDEPENDENT,195,40
BULIISA COUNTY,ATUGONZA  ALLAN,INDEPENDENT,15062,41
BULIISA COUNTY,BIRAAHWA  STEVEN MUKITALE ADYEERI,NRM,12340,41
BUGHENDERA COUNTY,ACROBERT  KIIZA MOSES,INDEPENDENT,13897,42
BUGHENDERA COUNTY,MBALIBULHA  KIBANZANGA TABAN CHRISTOPHER,NRM,13462,42
BUGHENDERA COUNTY,SUNDAY  APOLO,NUP,1571,42
BUGHENDERA COUNTY,MUMBERE  EZRA,DP,38,42
BWAMBA COUNTY,GAFABUSA  RICHARD MUHUMUZA,NRM,27202,43
BWAMBA COUNTY,KAMANDA COS  BATARINGAYA,INDEPENDENT,12732,43
BWAMBA COUNTY,BALYESIIMA  METHODIUS,INDEPENDENT,3276,43
BUNYANGABU COUNTY,KAMUKAMA  DAVIS,NRM,31353,44
BUNYANGABU COUNTY,KALENZI  VICTOR,INDEPENDENT,14251,44
BUNYANGABU COUNTY,BWAMBALE  BENON,ANT,2811,44
BUNYANGABU COUNTY,WOMUJUNI  VINCENT,INDEPENDENT,2742,44
BUNYANGABU COUNTY,MURUNGI  PATRICK ZERESIRE,INDEPENDENT,2262,44
BUNYANGABU COUNTY,KASINGA  LAWRENCE,INDEPENDENT,1889,44
BUNYANGABU COUNTY,KIMULI  KENNETH,INDEPENDENT,686,44
BUNYANGABU COUNTY,KABAGYO-KISEMBO  ROBERT JOSEPH,INDEPENDENT,503,44
BUNYANGABU COUNTY,RWABUKUKU  KENNETH,INDEPENDENT,378,44
BUSHENYI -ISHAKA MUNICIPALITY,KABUURA  DERRICK,NRM,8199,45
BUSHENYI -ISHAKA MUNICIPALITY,TAYEBWA  ODO,FDC,5898,45
BUSHENYI -ISHAKA MUNICIPALITY,NYAKAHANGURA  YEDIDIA,ANT,734,45
BUSHENYI -ISHAKA MUNICIPALITY,AKANDUHURA  KENNETH,INDEPENDENT,306,45
BUSHENYI -ISHAKA MUNICIPALITY,TWAHIKA  DENIS,INDEPENDENT,166,45
BUSHENYI -ISHAKA MUNICIPALITY,AHABWE  RUKIRA ELLY,INDEPENDENT,47,45
BUSHENYI -ISHAKA MUNICIPALITY,NDUHUKIRE  NASSER,INDEPENDENT,13,45
IGARA COUNTY EAST,MAWANDA  MICHEAL MARANGA,NRM,13973,46
IGARA COUNTY EAST,MUGURA  DAN,INDEPENDENT,11163,46
IGARA COUNTY EAST,MARTIAL  ANDREW,INDEPENDENT,4904,46
IGARA COUNTY EAST,GAKYALO  FABIAN,INDEPENDENT,966,46
IGARA COUNTY EAST,AMANYA  ANDREW,FDC,538,46
IGARA COUNTY EAST,TUMUKUNDE  JOSHUA,NUP,253,46
IGARA COUNTY EAST,ATUHURIIRE  MODERN,ANT,172,46
IGARA COUNTY WEST,MBWATEKAMWA  GAFFA,NRM,24508,46
IGARA COUNTY WEST,KABWEGYERE  TARSIS BAZANA,INDEPENDENT,12660,46
IGARA COUNTY WEST,KATANA  ATUHAIRE BRIAN,FDC,742,46
IGARA COUNTY WEST,NAYEBARE  JUMA,NUP,286,46
IGARA COUNTY WEST,TUMUTEGYERIZE  ONESMAS,INDEPENDENT,188,46
IGARA COUNTY WEST,KARUHANGA  NICHOLAS,INDEPENDENT,0,46
BUSIA MUNICIPALITY,MACHO  GEOFREY,INDEPENDENT,3507,47
BUSIA MUNICIPALITY,KAMBA  HASSAN,NRM,3411,47
BUSIA MUNICIPALITY,BARASA  LIVING OUMA,NUP,2344,47
BUSIA MUNICIPALITY,MULEMYA  ISMAIL SOWED,INDEPENDENT,1848,47
BUSIA MUNICIPALITY,ACHOKA  EGESA FREDDY,FDC,1106,47
BUSIA MUNICIPALITY,WANYAMA  KENEDDY,INDEPENDENT,938,47
BUSIA MUNICIPALITY,WABWIRE  DENNIS SHIUNDU,INDEPENDENT,910,47
BUSIA MUNICIPALITY,MUKASA  ABDALLA TIFF BBALE,JEEMA,700,47
BUSIA MUNICIPALITY,WESONGA  MICHAEL KAJUBA,INDEPENDENT,625,47
BUSIA MUNICIPALITY,EGESSA  JAMES,INDEPENDENT,383,47
BUSIA MUNICIPALITY,OUMA  IDI,INDEPENDENT,87,47
BUSIA MUNICIPALITY,ARMADO  SAMMY GILBERT,DP,62,47
SAMIA BUGWE CENTRAL COUNTY,NYANGWESO  DENNIS,INDEPENDENT,13917,48
SAMIA BUGWE CENTRAL COUNTY,WANYAMA  RICHARD,NRM,11528,48
SAMIA BUGWE CENTRAL COUNTY,MBAHA  EMMERY PATRICE,INDEPENDENT,1194,48
SAMIA BUGWE CENTRAL COUNTY,NAMAYINDI  JOHN CHARLES,INDEPENDENT,999,48
SAMIA BUGWE CENTRAL COUNTY,NGWABE  DEOGRACIOUS,FDC,267,48
SAMIA BUGWE CENTRAL COUNTY,OBURANIA  FREDDIE,INDEPENDENT,252,48
SAMIA BUGWE COUNTY NORTH,MULIMBA  JOHN,NRM,13528,49
SAMIA BUGWE COUNTY NORTH,TABALUK  MOSES,INDEPENDENT,6148,49
SAMIA BUGWE COUNTY NORTH,OKWARE  DOROTHY,INDEPENDENT,5286,49
SAMIA BUGWE COUNTY NORTH,WANDERA  JOHN PAUL,INDEPENDENT,2770,49
SAMIA BUGWE COUNTY NORTH,KWAMUSI  ELIASA,NUP,2745,49
SAMIA BUGWE COUNTY NORTH,NTALO  GODFREY,INDEPENDENT,1493,49
SAMIA BUGWE COUNTY NORTH,PADDE  GERALD AUKU,INDEPENDENT,659,49
SAMIA BUGWE COUNTY NORTH,NDEGE  JAMES,FDC,587,49
SAMIA BUGWE COUNTY NORTH,WABWIRE  GODFREY,INDEPENDENT,253,49
SAMIA BUGWE COUNTY NORTH,LUMONYA  PATRICK,INDEPENDENT,234,49
SAMIA BUGWE COUNTY NORTH,HAJUSU  MICHEAL,INDEPENDENT,201,49
SAMIA BUGWE COUNTY NORTH,OJAMBO  TONNY,INDEPENDENT,129,49
SAMIA BUGWE COUNTY NORTH,MUGENI  SIMON PETER,INDEPENDENT,113,49
SAMIA BUGWE COUNTY NORTH,MAYENDE  ERINEO SIRONDA,INDEPENDENT,96,49
SAMIA BUGWE COUNTY SOUTH,WERE  GODFREY ODERO,INDEPENDENT,8098,49
SAMIA BUGWE COUNTY SOUTH,MAGANDA  JULIUS WANDERA,NRM,7811,49
SAMIA BUGWE COUNTY SOUTH,ONYANGO  PATRICK,INDEPENDENT,2912,49
SAMIA BUGWE COUNTY SOUTH,BARAZAH  CHARLES,FDC,593,49
SAMIA BUGWE COUNTY SOUTH,BABONE  OLIVER BETTY,INDEPENDENT,260,49
SAMIA BUGWE COUNTY SOUTH,EGESSA  PATRICK NEINDA,INDEPENDENT,86,49
SAMIA BUGWE COUNTY SOUTH,MAKOHA  JULIUS,ANT,28,49
BUNYOLE EAST COUNTY,MUTEMBULI  YUSUF,NRM,20821,50
BUNYOLE EAST COUNTY,MUSAMBA  MOSES  NAGWOMU,INDEPENDENT,12760,50
BUNYOLE EAST COUNTY,MULABI  DAVID,INDEPENDENT,602,50
BUNYOLE EAST COUNTY,MUYAGU  RONNIE,NUP,596,50
BUNYOLE EAST COUNTY,MWIMA  MOSES BIZZIBU WERE,INDEPENDENT,423,50
BUNYOLE EAST COUNTY,MWANGALE  PETER,FDC,411,50
BUNYOLE EAST COUNTY,HIGENYI  MOSES,UPC,254,50
BUNYOLE EAST COUNTY,OKECHO  JOHN BOSCO,INDEPENDENT,89,50
