Constituency,Name,Political Party,Votes
BUGIRI,TWAHIKA DENIS,FDC,161
BUGIRI MUNICIPALITY,AHABWE RUKIRA ELLY,FDC,161
BUGIRI MUNICIPALITY,NDUHUKIRE NASSER,FDC,161
BUGIRI MUNICIPALITY,MAWANDA MICHEAL,FDC,162
BUGIRI MUNICIPALITY,MUGURA DAN,FDC,162
BUGIRI MUNICIPALITY,MARTIAL ANDREW,FDC,163
BUGIRI MUNICIPALITY,GAKYALO FABIAN,FDC,164
BUGIRI MUNICIPALITY,AMANYA ANDREW,FDC,164
BUGWERI,TUMUKUNDE JOSHUA,FDC,164
BUGWERI,ATUHURIIRE MODERN,FDC,165
BUGWERI,MBWATEKAMWA GAFFA,FDC,166
BUGWERI,KABWEGYERE TARSIS,FDC,166
BUGWERI,KATANA ATUHAIRE BRIAN,FDC,167
BUGWERI,NAYEBARE JUMA,FDC,167
BUGWERI COUNTY,TUMUTEGYERIZE ONESMAS,FDC,167
BUGWERI COUNTY,KARUHANGA NICHOLAS,FDC,167
BUGWERI COUNTY,MACHO GEOFREY,FDC,167
BUGWERI COUNTY,KAMBA HASSAN,FDC,169
BUGWERI COUNTY,BARASA LIVING OUMA,FDC,169
BUGWERI COUNTY,MULEMYA ISMAIL SOWED,FDC,170
BUGWERI COUNTY,ACHOKA EGESA FREDDY,FDC,171
BUGWERI COUNTY,WANYAMA KENEDDY,FDC,172
BUGWERI COUNTY,WABWIRE DENNIS SHIUNDU,FDC,172
BUGWERI COUNTY,MUKASA ABDALLA TIFF BBALE,FDC,172
BUGWERI COUNTY,WESONGA MICHAEL KAJUBA,FDC,172
BUHAGUZI COUNTY,EGESSA JAMES,FDC,173
BUHAGUZI COUNTY,OUMA IDI,FDC,173
BUHAGUZI COUNTY,ARMADO SAMMY GILBERT,FDC,174
BUHAGUZI EAST COUNTY,NYANGWESO DENNIS,FDC,174
BUHAGUZI EAST COUNTY,WANYAMA RICHARD,FDC,174
BUHAGUZI EAST COUNTY,MBAHA EMMERY PATRICE,FDC,175
BUHWEJU,NAMAYINDI JOHN CHARLES,FDC,175
BUHWEJU,NGWABE DEOGRACIOUS,FDC,175
BUHWEJU,OBURANIA FREDDIE,FDC,175
BUHWEJU,MULIMBA JOHN,FDC,176
BUHWEJU,TABALUK MOSES,FDC,176
BUHWEJU COUNTY,OKWARE DOROTHY,FDC,177
BUHWEJU COUNTY,WANDERA JOHN PAUL,FDC,178
BUHWEJU COUNTY,KWAMUSI ELIASA,FDC,179
BUHWEJU WEST COUNTY,NTALO GODFREY,FDC,179
BUHWEJU WEST COUNTY,PADDE GERALD AUKU,FDC,180
BUHWEJU WEST COUNTY,NDEGE JAMES,FDC,181
BUHWEJU WEST COUNTY,WABWIRE GODFREY,FDC,182
BUHWEJU WEST COUNTY,LUMONYA PATRICK,FDC,182
BUIKWE,HAJUSU MICHEAL,FDC,183
BUIKWE,OJAMBO TONNY,FDC,183
BUIKWE,MUGENI SIMON PETER,FDC,183
BUIKWE,MAYENDE ERINEO SIRONDA,FDC,184
BUIKWE,WERE GODFREY ODERO,FDC,184
BUIKWE,MAGANDA JULIUS WANDERA,FDC,184
BUIKWE,ONYANGO PATRICK,FDC,185
BUIKWE,BARAZAH CHARLES,FDC,185
BUIKWE COUNTY SOUTH,BABONE OLIVER BETTY,FDC,187
BUIKWE COUNTY SOUTH,EGESSA PATRICK NEINDA,FDC,187
BUIKWE COUNTY SOUTH,,FDC,188
BUIKWE COUNTY SOUTH,MAKOHA JULIUS,FDC,188
BUIKWE COUNTY SOUTH,,FDC,189
BUIKWE COUNTY SOUTH,MUTEMBULI YUSUF,FDC,189
BUIKWE COUNTY SOUTH,MUSAMBA MOSES NAGWOMU,FDC,189
BUJENJE COUNTY,MULABI DAVID,FDC,190
BUJENJE COUNTY,MUYAGU RONNIE,FDC,191
BUJENJE COUNTY,MWIMA MOSES BIZZIBU WERE,FDC,192
BUJENJE COUNTY,MWANGALE PETER,FDC,193
BUJUMBA COUNTY,HIGENYI MOSES,FDC,194
BUJUMBA COUNTY,OKECHO JOHN BOSCO,FDC,194
BUJUMBA COUNTY,MUTIWA GEOFREY ERIC,FDC,194
BUJUMBA COUNTY,WALUSWAKA JAMES,FDC,194
BUJUMBA COUNTY,WANGOLO JACOB,FDC,195
BUKANGA COUNTY,LYADA MOSES,FDC,195
BUKANGA COUNTY,BATALA CYPRIAN,FDC,195
BUKANGA COUNTY,HYABENE JAMES,FDC,195
BUKANGA COUNTY,WABWEYO SHEPHATIAH,FDC,196
BUKANGA COUNTY,AGUMIRA,FDC,196
BUKANGA COUNTY,MUWANGA KIVUMBI,FDC,198
BUKANGA NORTH COUNTY,MUHAMMAD,FDC,199
BUKANGA NORTH COUNTY,BAVEKUNO GODFREY,FDC,200
BUKEDEA,KYESWA,FDC,201
BUKEDEA COUNTY,MUTEBI MAHDI MUSOKE,FDC,201
BUKEDEA COUNTY,MULINDWA SULAIMAN,FDC,201
BUKEDEA COUNTY,MUNKABIRA DAUDA NSONZI,FDC,201
BUKEDEA COUNTY,SSEMPIJJA FRSANCIS,FDC,202
BUKEDEA COUNTY,MUTONO PATRICK LODOI,FDC,202
BUKEDEA COUNTY,MUDUKOI FRED ODUCHU,FDC,203
BUKEDEA COUNTY,NABYATA ABASS,FDC,203
BUKEDEA COUNTY,KEDDI STEVEN ERIC,FDC,204
BUKIMBIRI COUNTY,ZAID ZIWA,FDC,204
BUKIMBIRI COUNTY,SAMUKA PAUL,FDC,204
BUKIMBIRI COUNTY,MIGADDE ROBERT NDUGWA,FDC,205
BUKIMBIRI COUNTY,SSEMBAJJWE PAUL,FDC,206
BUKOMANSIMBI,MPALANYI VINCENT,FDC,206
BUKOMANSIMBI,ZIRYAWULA INNOCENT,FDC,206
BUKOMANSIMBI,MAGOGO MOSES HASSIM,FDC,208
BUKOMANSIMBI,DHAMUZUNGU GEOFREY,FDC,208
BUKOMANSIMBI NORTH,MWAKA MUHAMMED,FDC,209
BUKOMANSIMBI NORTH,TAKOZEKIBI DAVID GEOFREY,FDC,210
BUKOMANSIMBI NORTH,NGOBI AGGREY BYANSI,FDC,212
BUKOMANSIMBI NORTH,KYOTO IBRAHIM MULULI,FDC,213
BUKOMANSIMBI NORTH,MUBITO JOHN BOSCO,FDC,213
BUKOMANSIMBI NORTH,MUSOKE ROBERT,FDC,213
BUKOMANSIMBI NORTH,WAKABI DOMINIC,FDC,215
BUKOMANSIMBI SOUTH,MUYIGI DANIEL,FDC,216
BUKOMANSIMBI SOUTH,TALIGOOLA EMMANUEL,FDC,216
BUKOMANSIMBI SOUTH,GALIKUWA MOSES KIMEZE,FDC,217
BUKOMANSIMBI SOUTH,OGWAL MOSES GOLI,FDC,217
BUKOMANSIMBI SOUTH,AMORU PAUL,FDC,221
BUKOMANSIMBI SOUTH,OKELLO-OKELLO JOHN,FDC,222
BUKOMANSIMBI SOUTH,BAPTIST,FDC,222
BUKOMANSIMBI SOUTH,OJOK FRANCIS,FDC,222
BUKOMANSIMBI SOUTH,ORECH CHRISTOPHER,FDC,223
BUKOMANSIMBI SOUTH,AKEJO BOB MIKE,FDC,224
BUKONJO COUNTY WEST,OKOT OGONG FELIX,FDC,224
BUKONJO COUNTY WEST,OPITO VINCENT,FDC,224
BUKONJO COUNTY WEST,OCEN AMBROSE,FDC,225
BUKONO COUNTY,RUHUNDA ALEX,FDC,225
BUKONO COUNTY,,FDC,225
BUKONO COUNTY,AJUNA DAKA JOSEPH,FDC,227
BUKONO COUNTY,,FDC,227
BUKONO COUNTY,AMANYIRE TADEO,FDC,228
BUKONO COUNTY,,FDC,228
BUKONZO COUNTY EAST,RWABAKAMA MOSES,FDC,228
BUKONZO COUNTY EAST,ISINGOMA,FDC,228
BUKONZO COUNTY EAST,BINGI ALOYSIUS,FDC,229
BUKOOLI COUNTY CENTRAL,,FDC,229
BUKOOLI COUNTY CENTRAL,KALYEBARA RONALD,FDC,229
BUKOOLI COUNTY CENTRAL,,FDC,230
BUKOOLI COUNTY CENTRAL,MUGISA MARGARET,FDC,231
BUKOOLI COUNTY CENTRAL,MUHANGA,FDC,232
BUKOOLI COUNTY CENTRAL,RUHUNDWA SOLOMON,FDC,232
BUKOOLI COUNTY CENTRAL,,FDC,232
BUKOOLI COUNTY CENTRAL,MUHUMUZA FRANK BANKS,FDC,233
BUKOOLI COUNTY CENTRAL,,FDC,233
BUKOOLI COUNTY CENTRAL,KAZOOBA DAVID GUMA,FDC,234
BUKOOLI COUNTY CENTRAL,,FDC,235
BUKOOLI COUNTY NORTH,ATUHAIRE JACQUELINE,FDC,236
BUKOOLI COUNTY NORTH,,FDC,237
BUKOOLI COUNTY NORTH,SAAZI GODFREY,FDC,238
BUKOOLI COUNTY NORTH,KALULE SSENGO EMMANUEL,FDC,238
BUKOOLI COUNTY NORTH,NAKAYIZA JUSTINE,FDC,238
BUKOOLI COUNTY NORTH,KYAGABA CHARLES,FDC,239
BUKOOLI ISLAND COUNTY,IGA SIMON,FDC,239
BUKOOLI ISLAND COUNTY,RWAKOOJO ROBINA GUREME,FDC,240
BUKOOLI ISLAND COUNTY,LUKWAGO GONZAGA,FDC,240
BUKOOLI ISLAND COUNTY,KAGGWA WILBERFORCE,FDC,242
BUKOOLI SOUTH COUNTY,KAKOOZA ASADU,FDC,242
BUKOOLI SOUTH COUNTY,WOKORACH SIMON PETER,FDC,243
BUKOOLI SOUTH COUNTY,OKELLO PATRICK ONGUTI,FDC,244
BUKOOLI SOUTH COUNTY,KINYERA CHRISTOPHER,FDC,246
BUKOOLI SOUTH COUNTY,OKUMU RONALD REAGAN,FDC,247
BUKOOLI SOUTH COUNTY,ODONG GEOFFREY,FDC,247
BUKOOLI SOUTH COUNTY,RAY OTTI,FDC,248
BUKOOLI SOUTH COUNTY,NYEKO FRANCO P KAMACH,FDC,248
BUKOOLI SOUTH COUNTY,OKOT ALFRED OCHEN,FDC,249
BUKOOLI SOUTH COUNTY,OTORI KINYERA AGGREY,FDC,250
BUKOTO COUNTY CENTRAL,ODOCH KENNETH KRAVITZ,FDC,250
BUKOTO COUNTY CENTRAL,OJARA MARTIN MAPENDUZI,FDC,251
BUKOTO COUNTY CENTRAL,KOMAKECH LYANDRO,FDC,251
BUKOTO COUNTY CENTRAL,KITARA TONNY,FDC,252
BUKOTO COUNTY CENTRAL,OLAL ROY ROBERT,FDC,252
BUKOTO COUNTY CENTRAL,JAKICA MUNGU BRIAN,FDC,252
BUKOTO COUNTY EAST,OYAT CHAGGA WILSON,FDC,252
BUKOTO COUNTY EAST,OBOMA THOMAS OKOT,FDC,253
BUKOTO COUNTY EAST,OMONA ALEX,FDC,253
BUKOTO COUNTY EAST,ONEN CHARLES,FDC,253
BUKOTO COUNTY EAST,ATIMANGO NANCY,FDC,254
BUKOTO COUNTY EAST,LUBANGAKENE CAESER,FDC,254
BUKOTO COUNTY EAST,KOMAKECH GEOFFREY,FDC,255
BUKOTO COUNTY MID-WEST,MWAKA EMMANUEL,FDC,255
BUKOTO COUNTY MID-WEST,LUTUKUMOI,FDC,256
BUKOTO COUNTY MID-WEST,OTIM MICHAEL,FDC,257
BUKOTO COUNTY MID-WEST,OPOKA SIMON,FDC,259
BUKOTO COUNTY MID-WEST,OOLA SIMON PETER,FDC,260
BUKOTO COUNTY WEST,OKIDI CHRISTOPHER,FDC,260
BUKOTO COUNTY WEST,UHURU JOHN BOSCO,FDC,262
BUKOTO COUNTY WEST,ADONGAKULU ROBERT,FDC,262
BUKOTO COUNTY WEST,LURUM GEORGE MWA,FDC,262
BUKOTO COUNTY WEST,ODOKONYERO CHARLES,FDC,262
BUKOTO COUNTY WEST,WAKABI PIUS,FDC,263
BUKOTO COUNTYSOUTH,KARUBANGA DAVID,FDC,264
BUKOTO COUNTYSOUTH,KASIGWA GERALD BIHEMAISO,FDC,264
BUKOTO COUNTYSOUTH,AGABA RICHARD,FDC,266
BUKOTO COUNTYSOUTH,MUTAGWA MOSES BYAHUKA,FDC,266
BUKUYA COUNTY,ISINGOMA PATRICK,FDC,267
BUKUYA COUNTY,MWESIGWA,FDC,267
BUKUYA COUNTY,ASIIMWE JONARD,FDC,267
BUKUYA COUNTY,AGUUDA MOSES,FDC,268
BUKWO,MPABAISI DOREEN ALITUHA,FDC,268
BUKWO,RWAMITI APUULI,FDC,270
BUKWO,RUYONGA JOSEPH,FDC,270
BULAMBULI,KASULE ISMAIL,FDC,272
BULAMBULI,TUMUSIIME RONALD,FDC,273
BULAMBULI,BYAKAGABA SHEM,FDC,275
BULAMBULI,BEERAHERU GEOFFREY,FDC,275
BULAMBULI COUNTY,KYOOMA XAVIER,FIL,276
BULAMBULI COUNTY,AKAMPURIRA,INDEPENDENT,276
BULAMBULI COUNTY,GUMA GUMISIRIZA DAVID,INDEPENDENT,277
BULAMBULI COUNTY,MUGISHA GILBERT KAREBGYE,INDEPENDENT,278
BULAMBULI COUNTY,SEMAKURA JIBRIL,INDEPENDENT,278
BULAMBULI COUNTY,NINKUSIIMA JOHN PAUL,INDEPENDENT,278
BULAMOGI COUNTY,KAMUGISHA EMMANUEL,INDEPENDENT,278
BULAMOGI COUNTY,RWAKYENDERA,INDEPENDENT,279
BULAMOGI COUNTY,BYAMUGISHA MOSES,INDEPENDENT,280
BULAMOGI COUNTY,AHAISIBWE PHILMON,INDEPENDENT,280
